run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed83_20260611T103002_db2b860f,S2,83,88,107,193,0,0.4512820512820513,1.0,0.6219081272084805,0.3566666666666667,0.0,0.9731439393939394,0.9507058605534704,0.3554057090077549,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p25_seed97_20260611T103012_58ae6529,S2,97,100,123,177,0,0.4484304932735426,1.0,0.6191950464396285,0.41,0.0,0.9998,0.9994339622641508,0.4387584580108523,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed101_20260611T103013_17255aa4,S2,101,20,125,175,0,0.1379310344827586,1.0,0.2424242424242424,0.4166666666666667,0.0,0.9978333333333332,0.975037037037037,0.3862148750340566,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed11_20260611T100443_5f558c7a,S2,11,10,117,183,0,0.0787401574803149,1.0,0.145985401459854,0.39,0.0,0.777,0.077330487368208,0.3237324999645352,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed23_20260611T102858_ef9a1d39,S2,23,20,126,174,0,0.136986301369863,1.0,0.2409638554216867,0.42,0.0,1.0,1.0,0.3858559160144068,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed37_20260611T102908_64f93547,S2,37,20,114,186,0,0.1492537313432835,1.0,0.2597402597402597,0.38,0.0,1.0,1.0,0.3124923330033198,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed41_20260611T102917_73ce886d,S2,41,20,132,168,0,0.131578947368421,1.0,0.2325581395348837,0.44,0.0,0.9995833333333332,0.9929545454545454,0.3166018749470822,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed53_20260611T102926_21e79653,S2,53,20,119,181,0,0.1438848920863309,1.0,0.2515723270440251,0.3966666666666666,0.0,1.0,1.0,0.3873827080242336,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed67_20260611T102936_5bc013c1,S2,67,15,125,175,0,0.1071428571428571,1.0,0.1935483870967742,0.4166666666666667,0.0,0.95,0.7512363683662887,0.3151799999759532,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed71_20260611T102945_659cb397,S2,71,17,122,178,0,0.1223021582733813,1.0,0.2179487179487179,0.4066666666666667,0.0,0.9368627450980392,0.7074841624278903,0.335271333984565,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n2_cs0p00_seed83_20260611T102955_b8da46f4,S2,83,20,107,193,0,0.1574803149606299,1.0,0.272108843537415,0.3566666666666667,0.0,1.0,1.0,0.3332922499976121,isolation_forest_only
