scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S3_strong_campaign,S3,descriptor_clustering,71,2,0.75
S3_strong_campaign,S3,standard_gnn,71,2,0.75
S3_strong_campaign,S3,fcgnn,71,2,0.75
S3_strong_campaign,S3,local_ids,71,2,1.0
S3_strong_campaign,S3,descriptor_clustering,71,2,1.0
S3_strong_campaign,S3,standard_gnn,71,2,1.0
S3_strong_campaign,S3,fcgnn,71,2,1.0
S3_strong_campaign,S3,local_ids,71,5,0.75
S3_strong_campaign,S3,descriptor_clustering,71,5,0.75
S3_strong_campaign,S3,standard_gnn,71,5,0.75
S3_strong_campaign,S3,fcgnn,71,5,0.75
S3_strong_campaign,S3,local_ids,71,5,1.0
S3_strong_campaign,S3,descriptor_clustering,71,5,1.0
S3_strong_campaign,S3,standard_gnn,71,5,1.0
S3_strong_campaign,S3,fcgnn,71,5,1.0
S3_strong_campaign,S3,local_ids,71,10,0.75
S3_strong_campaign,S3,descriptor_clustering,71,10,0.75
S3_strong_campaign,S3,standard_gnn,71,10,0.75
S3_strong_campaign,S3,fcgnn,71,10,0.75
S3_strong_campaign,S3,local_ids,71,10,1.0
S3_strong_campaign,S3,descriptor_clustering,71,10,1.0
S3_strong_campaign,S3,standard_gnn,71,10,1.0
S3_strong_campaign,S3,fcgnn,71,10,1.0
S3_strong_campaign,S3,local_ids,83,2,0.75
S3_strong_campaign,S3,descriptor_clustering,83,2,0.75
S3_strong_campaign,S3,standard_gnn,83,2,0.75
S3_strong_campaign,S3,fcgnn,83,2,0.75
S3_strong_campaign,S3,local_ids,83,2,1.0
S3_strong_campaign,S3,descriptor_clustering,83,2,1.0
S3_strong_campaign,S3,standard_gnn,83,2,1.0
S3_strong_campaign,S3,fcgnn,83,2,1.0
S3_strong_campaign,S3,local_ids,83,5,0.75
S3_strong_campaign,S3,descriptor_clustering,83,5,0.75
S3_strong_campaign,S3,standard_gnn,83,5,0.75
S3_strong_campaign,S3,fcgnn,83,5,0.75
S3_strong_campaign,S3,local_ids,83,5,1.0
S3_strong_campaign,S3,descriptor_clustering,83,5,1.0
S3_strong_campaign,S3,standard_gnn,83,5,1.0
S3_strong_campaign,S3,fcgnn,83,5,1.0
S3_strong_campaign,S3,local_ids,83,10,0.75
S3_strong_campaign,S3,descriptor_clustering,83,10,0.75
S3_strong_campaign,S3,standard_gnn,83,10,0.75
S3_strong_campaign,S3,fcgnn,83,10,0.75
S3_strong_campaign,S3,local_ids,83,10,1.0
S3_strong_campaign,S3,descriptor_clustering,83,10,1.0
S3_strong_campaign,S3,standard_gnn,83,10,1.0
S3_strong_campaign,S3,fcgnn,83,10,1.0
S3_strong_campaign,S3,local_ids,97,2,0.75
S3_strong_campaign,S3,descriptor_clustering,97,2,0.75
S3_strong_campaign,S3,standard_gnn,97,2,0.75
S3_strong_campaign,S3,fcgnn,97,2,0.75
S3_strong_campaign,S3,local_ids,97,2,1.0
S3_strong_campaign,S3,descriptor_clustering,97,2,1.0
S3_strong_campaign,S3,standard_gnn,97,2,1.0
S3_strong_campaign,S3,fcgnn,97,2,1.0
S3_strong_campaign,S3,local_ids,97,5,0.75
S3_strong_campaign,S3,descriptor_clustering,97,5,0.75
S3_strong_campaign,S3,standard_gnn,97,5,0.75
